,,,American Indian Alaskan Native,American Indian Alaskan Native,Asian or Pacific Islander,Asian or Pacific Islander,Black or African American,Black or African American,White,White,Other,Other,Missing,Missing,Suppressed,Suppressed
Index,Week of,County,Cases,Deaths,Cases,Deaths,Cases,Deaths,Cases,Deaths,Cases,Deaths,Cases,Deaths,Cases,Deaths
392,1/10/2021,Union,24,,15,,97,1,657,7,134,1,331,,,
393,1/10/2021,Vance,,,,,70,,,,18,,98,3,42,
394,1/10/2021,Wake,33,,135,1,876,9,"2,110",8,947,2,890,2,,
395,1/10/2021,Warren,,,,,35,,,,6,,13,,24,1
396,1/10/2021,Washington,,,,,13,,,,5,,26,,30,1
397,1/10/2021,Watauga,,,,,,,127,,8,,36,,4,
398,1/10/2021,Wayne,1,,1,,100,3,188,4,26,,101,1,,
399,1/10/2021,Wilkes,,,,,,,244,2,9,,62,,14,1
400,1/10/2021,Wilson,3,,,,141,1,176,3,27,,86,,,
401,1/10/2021,Yadkin,,,,,,,107,,12,,60,,1,1
402,1/10/2021,Yancey,,,,,,,16,,10,,28,,,
403,1/3/2021,Alamance,1,,13,,151,,442,2,237,,180,1,,
404,1/3/2021,Alexander,,,,,,,93,3,39,,146,,2,
405,1/3/2021,Alleghany,,,,,,,18,,2,,3,,2,
406,1/3/2021,Anson,,,,,78,3,,,16,,15,,51,
407,1/3/2021,Ashe,,,,,,,55,,3,,38,,1,1
408,1/3/2021,Avery,,,,,,,62,,13,,24,,27,
409,1/3/2021,Beaufort,,,,,,,222,,20,,131,,30,2
410,1/3/2021,Bertie,,,,,3,,,,19,,15,,49,2
411,1/3/2021,Bladen,,,,,,,112,,61,,22,,45,2
412,1/3/2021,Brunswick,9,,3,,37,,439,4,17,,103,1,,
413,1/3/2021,Buncombe,2,,13,,39,1,634,17,101,,309,4,,
414,1/3/2021,Burke,1,,19,,26,,393,7,26,,154,1,,
415,1/3/2021,Cabarrus,37,,17,,163,2,705,8,109,,407,,,
416,1/3/2021,Caldwell,,,2,,38,,389,,20,,129,,,1
417,1/3/2021,Camden,,,,,,,25,,5,,17,,4,
418,1/3/2021,Carteret,,,,,,,167,,6,,84,,12,1
419,1/3/2021,Caswell,,,,,,,75,,18,,39,,46,1
420,1/3/2021,Catawba,3,,39,1,49,1,529,10,110,1,458,3,,
421,1/3/2021,Chatham,,,,,18,,75,,33,,62,,,1
422,1/3/2021,Cherokee,,,,,,,115,,2,,89,,1,
423,1/3/2021,Chowan,,,,,,,45,,27,,10,,8,
424,1/3/2021,Clay,,,,,,,20,,3,,45,,,2
425,1/3/2021,Cleveland,,,,,,,500,7,74,,107,,118,3
426,1/3/2021,Columbus,,,,,,,273,2,20,,70,1,67,2
427,1/3/2021,Craven,,,19,,98,,320,,24,,133,,,2
428,1/3/2021,Cumberland,17,,43,1,407,4,710,11,225,1,339,3,,
429,1/3/2021,Currituck,,,,,,,84,,3,,28,,7,
430,1/3/2021,Dare,,,,,,,116,,1,,17,,39,
431,1/3/2021,Davidson,2,,13,,64,,683,16,75,,342,1,,
432,1/3/2021,Davie,,,,,,,181,,68,,14,,28,
433,1/3/2021,Duplin,,,,,68,3,243,10,15,,8,,,
434,1/3/2021,Durham,5,,33,,386,7,281,2,297,1,312,2,,
435,1/3/2021,Edgecombe,,,,,77,2,,,46,1,55,,102,1
436,1/3/2021,Forsyth,6,,33,,412,5,"1,024",4,242,,360,1,,
437,1/3/2021,Franklin,,,,,83,,209,,61,,60,,,
438,1/3/2021,Gaston,7,,32,,136,4,893,14,163,,538,,,
439,1/3/2021,Gates,,,,,,,5,,23,,8,,1,
440,1/3/2021,Graham,,,,,,,25,,12,,5,,,
441,1/3/2021,Granville,,,4,,48,,119,,37,,72,,,2
442,1/3/2021,Greene,,,,,,,46,,15,,28,,21,
443,1/3/2021,Guilford,5,,110,,853,7,"1,183",15,228,1,600,,,
444,1/3/2021,Halifax,,,,,171,6,,,61,,76,2,168,4
445,1/3/2021,Harnett,,,4,,168,4,382,4,73,,86,,,
446,1/3/2021,Haywood,,,,,,,91,,7,,261,,5,1
447,1/3/2021,Henderson,2,,2,,25,,446,,39,,164,,,1
448,1/3/2021,Hertford,,,,,17,,,,21,,27,,47,
449,1/3/2021,Hoke,11,,,,48,,95,,49,,55,,,2
450,1/3/2021,Hyde,,,,,,,65,,13,,13,,37,
451,1/3/2021,Iredell,3,,10,,44,1,576,7,49,,541,,,
452,1/3/2021,Jackson,37,,3,,3,,65,,12,,80,,,2
453,1/3/2021,Johnston,,,6,,146,1,509,5,214,1,216,1,,
454,1/3/2021,Jones,,,,,,,27,,3,,8,,6,
455,1/3/2021,Lee,1,,2,,34,,190,,65,,123,,,1
456,1/3/2021,Lenoir,,,,,,,175,2,15,,71,,76,2
457,1/3/2021,Lincoln,,,,,,,374,,139,,178,,24,1
458,1/3/2021,Macon,,,,,,,126,,8,,135,,,
459,1/3/2021,Madison,,,,,,,59,3,35,,21,,,
460,1/3/2021,Martin,,,,,,,79,,39,,16,,16,3
461,1/3/2021,McDowell,,,,,,,278,4,11,,60,1,12,
462,1/3/2021,Mecklenburg,147,,271,1,"1,400",16,"2,321",18,887,6,"1,609",3,,
463,1/3/2021,Mitchell,,,,,,,51,,5,,19,,1,1
464,1/3/2021,Montgomery,,,,,,,165,3,33,,19,1,36,2
465,1/3/2021,Moore,3,1,6,,73,4,331,3,59,1,139,,,
466,1/3/2021,Nash,2,,6,,172,3,232,2,34,,185,,,
467,1/3/2021,New Hanover,3,,12,,99,2,736,13,61,,162,,,
468,1/3/2021,Northampton,,,,,45,,,,22,,33,,33,
469,1/3/2021,Onslow,4,,22,,125,,832,7,97,,170,1,,
470,1/3/2021,Orange,3,,15,,73,,241,3,99,2,44,,,
471,1/3/2021,Pamlico,,,,,,,38,,3,,13,,8,
472,1/3/2021,Pasquotank,,,,,,,105,1,29,,68,1,47,1
473,1/3/2021,Pender,2,,,,38,1,187,2,34,,111,2,,
474,1/3/2021,Perquimans,,,,,,,26,,10,,13,,6,
475,1/3/2021,Person,,,,,,,132,2,14,,35,,79,2
476,1/3/2021,Pitt,12,,4,,207,,680,,144,,66,,,1
477,1/3/2021,Polk,,,,,,,104,,7,,31,,3,2
478,1/3/2021,Randolph,2,,8,,34,1,541,12,53,1,324,,,
479,1/3/2021,Richmond,5,,1,1,62,4,99,6,119,1,28,,,
480,1/3/2021,Robeson,392,2,4,,155,,235,4,176,,196,,,
481,1/3/2021,Rockingham,2,,1,,86,3,353,2,45,,108,,,
482,1/3/2021,Rowan,8,,9,,124,,669,14,51,,265,,,
483,1/3/2021,Rutherford,,,,,,,310,7,55,1,160,2,36,
484,1/3/2021,Sampson,3,,,,61,,177,,55,,58,,,1
485,1/3/2021,Scotland,,,,,,,72,,8,,6,,91,1
486,1/3/2021,Stanly,,,,,,,358,,34,,51,,58,
487,1/3/2021,Stokes,,,,,,,222,3,18,,58,1,8,
488,1/3/2021,Surry,,,,,,,372,3,32,,66,2,18,1
489,1/3/2021,Swain,,,,,,,55,3,1,,27,,37,1
490,1/3/2021,Transylvania,,,,,,,126,2,34,1,21,,7,
491,1/3/2021,Tyrrell,,,,,,,11,3,1,,3,,4,
492,1/3/2021,Union,30,,22,,131,1,854,7,157,1,477,,,
493,1/3/2021,Vance,,,,,108,,,,19,,76,,120,1
494,1/3/2021,Wake,21,,227,,972,2,"2,778",7,"1,158",,"1,188",6,,
495,1/3/2021,Warren,,,,,35,,,,14,,17,,38,1
496,1/3/2021,Washington,,,,,15,3,,,4,,34,,28,
497,1/3/2021,Watauga,,,,,,,109,,8,,41,,3,1
498,1/3/2021,Wayne,2,,3,,99,1,212,4,45,,164,1,,
499,1/3/2021,Wilkes,,,,,,,259,3,9,,81,,9,
500,1/3/2021,Wilson,6,,1,,181,2,307,4,45,,71,,,
501,1/3/2021,Yadkin,,,,,,,157,,36,,61,,6,2
502,1/3/2021,Yancey,,,,,,,38,,15,,31,,,2
503,12/27/2020,Alamance,,,9,,114,1,393,4,208,2,161,,,
504,12/27/2020,Alexander,,,,,,,103,4,50,,182,6,5,
505,12/27/2020,Alleghany,,,,,,,29,,7,,9,,,
506,12/27/2020,Anson,,,,,76,,,,7,,13,,57,3
507,12/27/2020,Ashe,,,,,,,54,,1,,38,,1,2
508,12/27/2020,Avery,,,,,,,29,,32,,12,,6,
509,12/27/2020,Beaufort,,,,,,,219,,22,,131,,26,1
510,12/27/2020,Bertie,,,,,,,,,15,,33,,55,3
511,12/27/2020,Bladen,,,,,,,83,2,30,,22,,39,1
512,12/27/2020,Brunswick,1,,2,1,33,,380,7,11,,73,,,
513,12/27/2020,Buncombe,1,,7,1,60,,680,18,101,2,375,1,,
514,12/27/2020,Burke,2,,23,,20,1,438,2,38,,133,2,,
515,12/27/2020,Cabarrus,24,,27,,149,2,669,11,98,,266,,,
516,12/27/2020,Caldwell,,,1,,44,1,458,4,24,,150,1,,
517,12/27/2020,Camden,,,,,,,26,,3,,21,,3,
518,12/27/2020,Carteret,,,,,,,181,3,4,,96,,17,
519,12/27/2020,Caswell,,,,,,,56,,19,,7,,28,
520,12/27/2020,Catawba,4,,28,,50,1,607,21,102,1,406,2,,
521,12/27/2020,Chatham,1,,1,,11,,65,,31,,55,,,
522,12/27/2020,Cherokee,,,,,,,55,,4,,90,,2,2
523,12/27/2020,Chowan,,,,,,,34,,31,,7,,3,
524,12/27/2020,Clay,,,,,,,13,2,4,,43,1,1,
525,12/27/2020,Cleveland,,,,,,,547,3,66,,83,,75,
526,12/27/2020,Columbus,,,,,,,261,8,14,,57,1,63,4
527,12/27/2020,Craven,2,,3,,88,2,258,2,24,1,119,,,
528,12/27/2020,Cumberland,18,1,19,,272,2,399,7,229,3,403,,,
529,12/27/2020,Currituck,,,,,,,59,,2,,29,,5,
530,12/27/2020,Dare,,,,,,,145,,3,,17,,21,
531,12/27/2020,Davidson,1,,12,,73,1,657,6,43,,282,2,,
532,12/27/2020,Davie,,,,,,,170,,56,,23,,10,1
533,12/27/2020,Duplin,,,,,44,2,195,3,10,,6,,,
534,12/27/2020,Durham,2,,34,,370,7,270,5,248,,250,,,
535,12/27/2020,Edgecombe,,,,,64,,,,23,,32,,88,1
536,12/27/2020,Forsyth,5,,6,1,313,4,899,4,184,,258,,,
537,12/27/2020,Franklin,5,,,,60,,262,,49,,52,,,1
538,12/27/2020,Gaston,13,,16,1,119,2,"1,002",23,167,,422,,,
539,12/27/2020,Gates,,,,,,,14,,22,,15,,2,
540,12/27/2020,Graham,,,,,,,35,,14,,6,,8,
541,12/27/2020,Granville,1,,,,43,,128,,29,,52,,,2
542,12/27/2020,Greene,,,,,,,46,,11,,10,,21,1
543,12/27/2020,Guilford,7,,86,2,686,6,"1,050",12,169,,525,,,
544,12/27/2020,Halifax,,,,,147,,,,48,,40,1,127,3
545,12/27/2020,Harnett,,,4,,95,,273,2,55,,112,1,,
546,12/27/2020,Haywood,,,,,,,59,,1,,252,,3,2
547,12/27/2020,Henderson,1,,5,,16,,510,5,31,,131,1,,
548,12/27/2020,Hertford,,,,,17,,,,27,,25,,78,
549,12/27/2020,Hoke,14,,1,,42,1,62,1,67,,45,1,,
550,12/27/2020,Hyde,,,,,,,55,,4,,13,,24,
551,12/27/2020,Iredell,1,,4,,56,2,541,5,60,,526,1,,
552,12/27/2020,Jackson,21,,1,,1,,105,3,6,1,66,,,
553,12/27/2020,Johnston,2,,1,,115,2,579,10,237,1,196,,,
554,12/27/2020,Jones,,,,,,,20,,1,,11,,12,
555,12/27/2020,Lee,2,,,,33,,187,2,61,,58,1,,
556,12/27/2020,Lenoir,,,,,,,173,4,20,1,75,2,80,3
557,12/27/2020,Lincoln,,,,,,,350,2,134,1,133,3,26,
558,12/27/2020,Macon,,,,,,,77,,12,,117,,2,
559,12/27/2020,Madison,,,,,,,74,7,10,,10,,,
560,12/27/2020,Martin,,,,,,,118,,70,,18,,14,1
561,12/27/2020,McDowell,,,,,,,306,,12,,60,,1,2
562,12/27/2020,Mecklenburg,92,,198,,"1,172",15,"2,082",27,680,13,"1,362",2,,
563,12/27/2020,Mitchell,,,,,,,56,,,,18,,,
564,12/27/2020,Montgomery,,,,,,,105,3,22,,14,,34,
565,12/27/2020,Moore,2,,2,,54,3,327,4,73,,139,1,,
566,12/27/2020,Nash,9,,2,,114,1,209,4,33,,169,,,
567,12/27/2020,New Hanover,1,,8,,91,,641,4,54,,112,,,
568,12/27/2020,Northampton,,,,,43,,,,21,,24,,26,
569,12/27/2020,Onslow,6,,22,,131,1,712,11,70,,224,1,,
570,12/27/2020,Orange,,,6,,78,,201,8,76,,40,,,
571,12/27/2020,Pamlico,,,,,,,29,,,,12,,3,
572,12/27/2020,Pasquotank,,,,,,,96,5,24,,63,1,56,1
573,12/27/2020,Pender,1,,,,43,1,164,6,20,,116,1,,
574,12/27/2020,Perquimans,,,,,,,32,,25,,18,,17,
575,12/27/2020,Person,,,,,,,147,16,12,,29,,60,4
576,12/27/2020,Pitt,16,,4,,166,,775,,121,,83,,,
577,12/27/2020,Polk,,,,,,,92,,5,,29,,2,1
578,12/27/2020,Randolph,5,,9,,44,,668,16,26,1,141,,,
579,12/27/2020,Richmond,1,,,,51,3,89,,79,,18,,,
580,12/27/2020,Robeson,354,1,3,,112,2,211,3,196,3,153,1,,
581,12/27/2020,Rockingham,1,,1,,68,,233,,32,,78,,,2
582,12/27/2020,Rowan,9,,2,,108,1,684,12,75,,305,8,,
583,12/27/2020,Rutherford,,,,,,,377,11,69,3,134,5,35,
584,12/27/2020,Sampson,2,,6,,58,4,171,1,62,,60,,,
585,12/27/2020,Scotland,,,,,,,86,3,4,,6,,95,1
586,12/27/2020,Stanly,,,,,,,298,,20,,114,,36,
587,12/27/2020,Stokes,,,,,,,204,1,10,2,53,1,10,
588,12/27/2020,Surry,,,,,,,334,,31,,74,,20,2
589,12/27/2020,Swain,,,,,,,61,,2,,19,,21,1
590,12/27/2020,Transylvania,,,,,,,140,3,33,1,16,,4,1
591,12/27/2020,Tyrrell,,,,,,,16,,1,,2,,3,
592,12/27/2020,Union,20,,16,,98,2,809,5,136,2,455,1,,
593,12/27/2020,Vance,,,,,80,,,,41,,53,,69,2
594,12/27/2020,Wake,16,,168,,948,7,"2,532",16,970,1,693,1,,
595,12/27/2020,Warren,,,,,26,,,,7,,6,,21,1
596,12/27/2020,Washington,,,,,33,2,,,2,,10,,41,4
597,12/27/2020,Watauga,,,,,,,66,,5,,29,,5,1
598,12/27/2020,Wayne,3,,2,,105,1,257,7,48,,116,1,,
599,12/27/2020,Wilkes,,,,,,,316,,10,,89,,13,1
600,12/27/2020,Wilson,1,,1,,140,5,333,2,16,,52,,,
601,12/27/2020,Yadkin,,,,,,,146,4,39,,53,,3,
602,12/27/2020,Yancey,,,,,,,24,,17,,74,,,
603,12/20/2020,Alamance,1,,3,,110,2,448,6,103,1,55,,,
604,12/20/2020,Alexander,,,,,,,94,,3,,86,,1,2
605,12/20/2020,Alleghany,,,,,,,33,,3,,10,,2,
606,12/20/2020,Anson,,,,,35,2,,,1,,21,1,39,2
607,12/20/2020,Ashe,,,,,,,24,,,,21,,,
608,12/20/2020,Avery,,,,,,,46,,2,,15,,4,
609,12/20/2020,Beaufort,,,,,,,125,4,10,,58,,5,
610,12/20/2020,Bertie,,,,,2,,,,12,,7,,21,
611,12/20/2020,Bladen,,,,,,,46,,17,,10,,39,2
612,12/20/2020,Brunswick,3,,,,17,,248,6,9,,35,,,
613,12/20/2020,Buncombe,2,,7,,44,1,497,14,47,1,262,3,,
614,12/20/2020,Burke,1,,9,,13,,272,2,12,,119,1,,
615,12/20/2020,Cabarrus,23,,19,1,119,4,449,7,51,,200,1,,
616,12/20/2020,Caldwell,,,3,,18,,359,7,30,3,105,,,
617,12/20/2020,Camden,,,,,,,19,,1,,7,,3,
618,12/20/2020,Carteret,,,,,,,161,,7,,52,,21,
619,12/20/2020,Caswell,,,,,,,49,,8,,4,,24,2
620,12/20/2020,Catawba,,,21,,33,,482,16,33,,301,4,,
621,12/20/2020,Chatham,,,1,,11,,65,,20,,25,,,1
622,12/20/2020,Cherokee,,,,,,,29,,5,,48,,4,
623,12/20/2020,Chowan,,,,,,,20,,21,,3,,1,
624,12/20/2020,Clay,,,,,,,2,,,,25,,1,
625,12/20/2020,Cleveland,,,,,,,310,10,54,,53,,45,2
626,12/20/2020,Columbus,,,,,,,159,5,3,,36,1,64,1
627,12/20/2020,Craven,1,,3,,67,,158,,7,,90,,,1
628,12/20/2020,Cumberland,7,,22,,213,5,298,4,128,1,246,2,,
629,12/20/2020,Currituck,,,,,,,27,,3,,17,,9,
630,12/20/2020,Dare,,,,,,,80,,,,12,,12,1
631,12/20/2020,Davidson,3,,3,,58,1,439,3,39,,173,,,
632,12/20/2020,Davie,,,,,,,120,,40,,9,,11,1
633,12/20/2020,Duplin,1,,,,25,,148,4,10,,3,,,
634,12/20/2020,Durham,,,14,,178,,172,3,124,,112,,,
635,12/20/2020,Edgecombe,,,,,27,,,,6,,15,,51,
636,12/20/2020,Forsyth,4,,10,,267,2,671,11,133,1,201,,,
637,12/20/2020,Franklin,,,1,,29,,125,,32,,41,,,
638,12/20/2020,Gaston,11,,11,,98,1,589,13,105,,280,,,
639,12/20/2020,Gates,,,,,,,6,,3,,9,,1,
640,12/20/2020,Graham,,,,,,,27,,4,,2,,5,1
641,12/20/2020,Granville,,,,,60,,94,,11,,17,,,
642,12/20/2020,Greene,,,,,,,34,,3,,3,,10,1
643,12/20/2020,Guilford,5,,31,,405,8,584,10,141,1,351,,,
644,12/20/2020,Halifax,,,,,73,1,,,22,1,31,,94,2
645,12/20/2020,Harnett,1,,4,,59,1,201,4,37,,67,,,
646,12/20/2020,Haywood,,,,,,,35,,5,,177,5,2,
647,12/20/2020,Henderson,,,4,,17,,392,2,21,,111,1,,
648,12/20/2020,Hertford,,,,,15,,,,12,,7,,31,2
649,12/20/2020,Hoke,11,,1,,28,3,34,1,36,1,36,,,
650,12/20/2020,Hyde,,,,,,,31,,,,6,,20,
651,12/20/2020,Iredell,3,,1,,35,,362,7,50,,301,4,,
652,12/20/2020,Jackson,20,,,,,,67,3,8,,58,,,
653,12/20/2020,Johnston,,,4,,88,,442,7,171,2,183,,,
654,12/20/2020,Jones,,,,,,,12,,,,12,,2,1
655,12/20/2020,Lee,,,1,,23,,123,1,33,,40,2,,
656,12/20/2020,Lenoir,,,,,,,110,2,12,,45,,36,1
657,12/20/2020,Lincoln,,,,,,,232,2,52,,95,1,14,
658,12/20/2020,Macon,,,,,,,40,,29,,59,,,
659,12/20/2020,Madison,,,,,,,31,,15,,3,,,
660,12/20/2020,Martin,,,,,,,48,,16,,10,,9,1
661,12/20/2020,McDowell,,,,,,,183,,4,,46,,2,2
662,12/20/2020,Mecklenburg,83,,165,1,822,16,"1,561",14,429,3,883,3,,
663,12/20/2020,Mitchell,,,,,,,45,,4,,28,,,
664,12/20/2020,Montgomery,,,,,,,72,3,9,,13,,14,
665,12/20/2020,Moore,1,,2,,39,,214,5,32,,85,,,
666,12/20/2020,Nash,7,,1,,82,,127,,19,,90,,,1
667,12/20/2020,New Hanover,,,7,,32,,415,4,34,1,90,,,
668,12/20/2020,Northampton,,,,,15,,,,13,,7,,19,
669,12/20/2020,Onslow,3,,19,1,73,4,418,4,48,,82,,,
670,12/20/2020,Orange,,,5,,28,,118,,68,,27,,,2
671,12/20/2020,Pamlico,,,,,,,11,,,,2,,5,
672,12/20/2020,Pasquotank,,,,,,,77,3,11,,68,1,68,1
673,12/20/2020,Pender,2,,,,29,2,95,3,21,,49,1,,
674,12/20/2020,Perquimans,,,,,,,21,,1,,12,,5,
675,12/20/2020,Person,,,,,,,84,3,4,,12,,23,1
676,12/20/2020,Pitt,7,,,,47,,498,,81,,61,,,
677,12/20/2020,Polk,,,,,,,45,,1,,15,,3,
678,12/20/2020,Randolph,,,4,1,30,1,424,4,9,,45,,,
679,12/20/2020,Richmond,,,,,31,1,54,2,39,,11,,,
680,12/20/2020,Robeson,180,1,1,,75,2,107,4,125,1,74,1,,
681,12/20/2020,Rockingham,,,2,,49,,149,,37,,34,,,
682,12/20/2020,Rowan,6,,4,,49,2,438,10,36,,156,2,,
683,12/20/2020,Rutherford,,,,,,,204,3,45,,74,,22,3
684,12/20/2020,Sampson,2,,1,,25,2,128,1,23,,38,1,,
685,12/20/2020,Scotland,,,,,,,40,,4,,4,,47,
686,12/20/2020,Stanly,,,,,,,207,3,5,,29,,12,1
687,12/20/2020,Stokes,,,,,,,131,3,7,,24,,11,1
688,12/20/2020,Surry,,,,,,,243,5,21,,77,5,8,
689,12/20/2020,Swain,,,,,,,34,,1,,19,,19,
690,12/20/2020,Transylvania,,,,,,,71,,5,,8,,1,
691,12/20/2020,Tyrrell,,,,,,,3,,,,1,,,
692,12/20/2020,Union,24,1,11,,75,1,656,13,99,1,250,,,
693,12/20/2020,Vance,,,,,60,,,,13,,32,,67,1
694,12/20/2020,Wake,12,,99,1,530,7,"1,339",10,495,,512,2,,
695,12/20/2020,Warren,,,,,16,,,,3,,6,,24,1
696,12/20/2020,Washington,,,,,9,,,,1,,5,,18,1
697,12/20/2020,Watauga,,,,,,,61,,1,,17,,2,1
698,12/20/2020,Wayne,1,,1,,86,4,143,2,32,1,97,,,
699,12/20/2020,Wilkes,,,,,,,175,3,5,,33,,5,
700,12/20/2020,Wilson,1,,,,97,6,176,3,10,,42,,,
701,12/20/2020,Yadkin,,,,,,,103,,25,,35,,3,
702,12/20/2020,Yancey,,,,,,,59,,9,,18,,3,2
703,12/13/2020,Alamance,2,,1,,124,,389,4,106,,98,3,,
704,12/13/2020,Alexander,,,,,,,101,8,2,,118,3,12,
705,12/13/2020,Alleghany,,,,,,,49,,8,,7,,2,
706,12/13/2020,Anson,,,,,34,1,,,2,,9,,61,5
707,12/13/2020,Ashe,,,,,,,55,,2,,39,,1,1
708,12/13/2020,Avery,,,,,,,47,,23,,16,,,
709,12/13/2020,Beaufort,,,,,,,115,5,17,,60,1,17,
710,12/13/2020,Bertie,,,,,13,,,,18,,7,,31,
711,12/13/2020,Bladen,,,,,,,50,,22,,8,,39,1
712,12/13/2020,Brunswick,,,1,,21,1,253,1,22,,52,1,,
713,12/13/2020,Buncombe,1,,7,2,43,,540,18,83,3,331,6,,
714,12/13/2020,Burke,2,,6,,14,,293,5,28,1,191,1,,
715,12/13/2020,Cabarrus,25,,24,,135,1,573,8,112,,220,,,
716,12/13/2020,Caldwell,,,,,19,,471,6,27,,118,,,
717,12/13/2020,Camden,,,,,,,15,,2,,6,,3,
718,12/13/2020,Carteret,,,,,,,183,,4,,55,,11,1
719,12/13/2020,Caswell,,,,,,,35,,13,,6,,22,
720,12/13/2020,Catawba,1,,13,,29,,545,7,56,1,332,,,
721,12/13/2020,Chatham,,,,,14,,53,,42,,23,,,
722,12/13/2020,Cherokee,,,,,,,48,,3,,28,,1,
723,12/13/2020,Chowan,,,,,,,19,,16,,3,,4,
724,12/13/2020,Clay,,,,,,,9,,,,21,,,
725,12/13/2020,Cleveland,,,,,,,400,11,64,3,87,,103,1
726,12/13/2020,Columbus,,,,,,,144,2,8,,35,,61,1
727,12/13/2020,Craven,2,,19,,141,,245,,10,,138,,,2
728,12/13/2020,Cumberland,8,,15,,303,1,473,4,182,1,330,,,
729,12/13/2020,Currituck,,,,,,,45,,3,,23,,6,
730,12/13/2020,Dare,,,,,,,61,,1,,7,,16,1
731,12/13/2020,Davidson,3,,6,,52,,496,4,63,,202,2,,
732,12/13/2020,Davie,,,,,,,130,,42,,8,,18,
733,12/13/2020,Duplin,1,,3,,52,,144,7,18,1,3,,,
734,12/13/2020,Durham,2,,11,,263,5,192,4,201,,152,,,
735,12/13/2020,Edgecombe,,,,,52,,,,26,3,13,,92,
736,12/13/2020,Forsyth,5,,21,,392,4,920,10,215,,310,,,
737,12/13/2020,Franklin,1,,1,,55,,148,,68,,49,,,1
738,12/13/2020,Gaston,14,,13,,143,3,717,13,121,,316,,,
739,12/13/2020,Gates,,,,,,,6,,19,,6,,5,1
740,12/13/2020,Graham,,,,,,,8,,2,,2,,3,
741,12/13/2020,Granville,,,2,,64,,110,,15,,39,,,2
742,12/13/2020,Greene,,,,,,,52,,15,,19,,17,2
743,12/13/2020,Guilford,5,,29,,491,6,639,12,158,1,464,,,
744,12/13/2020,Halifax,,,,,66,2,,,39,2,57,,103,3
745,12/13/2020,Harnett,3,,1,,87,,230,4,44,,88,,,
746,12/13/2020,Haywood,,,,,,,41,,6,,170,,1,1
747,12/13/2020,Henderson,,,10,,16,,613,14,20,,180,,,
748,12/13/2020,Hertford,,,,,38,3,,,17,,2,,37,
749,12/13/2020,Hoke,11,,1,,37,,50,,70,,39,,,
750,12/13/2020,Hyde,,,,,,,21,,,,7,,5,1
751,12/13/2020,Iredell,1,,8,,67,3,463,6,44,2,418,1,,
752,12/13/2020,Jackson,21,1,2,,1,,123,5,9,,88,1,,
753,12/13/2020,Johnston,4,,,,124,3,562,11,166,1,147,,,
754,12/13/2020,Jones,,,,,,,21,,,,8,,5,
755,12/13/2020,Lee,1,,2,,24,2,153,1,54,1,56,1,,
756,12/13/2020,Lenoir,,,,,,,153,5,33,,69,,69,
757,12/13/2020,Lincoln,,,,,,,297,4,57,,111,1,20,
758,12/13/2020,Macon,,,,,,,32,,8,,117,,,2
759,12/13/2020,Madison,,,,,,,31,,22,,8,,,
760,12/13/2020,Martin,,,,,,,68,,35,,11,,19,2
761,12/13/2020,McDowell,,,,,,,233,,6,,46,,12,1
762,12/13/2020,Mecklenburg,90,1,194,1,"1,122",14,"1,971",18,561,4,941,3,,
763,12/13/2020,Mitchell,,,,,,,91,,7,,21,,1,
764,12/13/2020,Montgomery,,,,,,,96,,14,,10,,15,
765,12/13/2020,Moore,3,,2,,33,,280,1,55,1,99,1,,
766,12/13/2020,Nash,2,,1,,99,3,161,,32,,118,,,
767,12/13/2020,New Hanover,2,,,,48,1,439,3,34,2,69,,,
768,12/13/2020,Northampton,,,,,23,,,,10,,14,,21,
769,12/13/2020,Onslow,5,,12,,90,1,491,7,60,,115,,,
770,12/13/2020,Orange,,,8,,36,,119,,49,,18,,,1
771,12/13/2020,Pamlico,,,,,,,20,,1,,4,,4,1
772,12/13/2020,Pasquotank,,,,,,,99,12,12,,46,,67,6
773,12/13/2020,Pender,1,,,,22,,110,,21,,37,,,1
774,12/13/2020,Perquimans,,,,,,,28,,10,,15,,3,
775,12/13/2020,Person,,,,,,,109,,10,,11,,20,2
776,12/13/2020,Pitt,13,,1,,99,,562,,85,,90,,,
777,12/13/2020,Polk,,,,,,,59,,3,,13,,3,
778,12/13/2020,Randolph,2,,,,30,,503,4,7,,36,,,
779,12/13/2020,Richmond,,,,,36,1,67,2,65,,13,,,
780,12/13/2020,Robeson,199,,2,,96,3,120,5,117,1,93,,,
781,12/13/2020,Rockingham,,,1,,43,,177,7,52,,45,,,
782,12/13/2020,Rowan,7,1,8,,72,,498,5,51,,171,1,,
783,12/13/2020,Rutherford,,,,,,,304,13,65,1,110,3,25,1
784,12/13/2020,Sampson,2,,,,48,,126,,37,,70,,,2
785,12/13/2020,Scotland,,,,,,,64,,12,,,,54,
786,12/13/2020,Stanly,,,,,,,272,,6,,16,,27,2
787,12/13/2020,Stokes,,,,,,,192,2,9,,62,3,7,
788,12/13/2020,Surry,,,,,,,308,9,23,1,91,7,11,2
789,12/13/2020,Swain,,,,,,,42,,3,,14,,20,2
790,12/13/2020,Transylvania,,,,,,,70,,6,,15,,,
791,12/13/2020,Tyrrell,,,,,,,1,,1,,1,,,
792,12/13/2020,Union,21,,11,,63,1,675,5,100,1,299,1,,
793,12/13/2020,Vance,,,,,81,,,,22,,38,,60,
794,12/13/2020,Wake,6,,102,,604,2,"1,680",11,610,1,619,,,
